Objeto,Ângulo (º),Distância (m),Altura (m),Tempo (s),Velocidade média (m/s)
Aro,5.56,0.7640842458,0.074,1.636,0.46704416
Aro,5.56,0.7640842458,0.074,1.647,0.4639248608
Aro,5.56,0.7640842458,0.074,1.628,0.4693392173
Aro,5.56,0.7640842458,0.074,1.656,0.4614035301
Aro,5.56,0.7640842458,0.074,1.633,0.4679021713
Aro,5.56,0.7640842458,0.074,1.677,0.4556256683
Aro,5.56,0.7640842458,0.074,1.653,0.4622409231
Aro,5.56,0.7640842458,0.074,1.685,0.4534624604
Aro,5.56,0.7640842458,0.074,1.644,0.4647714391
Aro,5.56,0.7640842458,0.074,1.631,0.4684759324
esfera,5.56,0.7640842458,0.074,1.333,0.573206486
esfera,5.56,0.7640842458,0.074,1.324,0.5771029047
esfera,5.56,0.7640842458,0.074,1.469,0.5201390373
esfera,5.56,0.7640842458,0.074,1.362,0.5610016489
esfera,5.56,0.7640842458,0.074,1.347,0.5672488833
esfera,5.56,0.7640842458,0.074,1.39,0.5497008963
esfera,5.56,0.7640842458,0.074,1.334,0.572776796
esfera,5.56,0.7640842458,0.074,1.34,0.5702121237
esfera,5.56,0.7640842458,0.074,1.376,0.5552937833
esfera,5.56,0.7640842458,0.074,1.348,0.5668280755
esfera ,5.56,0.7640842458,0.074,1.382,0.5528829564
esfera ,5.56,0.7640842458,0.074,1.367,0.5589497043
esfera ,5.56,0.7640842458,0.074,1.357,0.5630687147
esfera ,5.56,0.7640842458,0.074,1.367,0.5589497043
esfera ,5.56,0.7640842458,0.074,1.373,0.5565070982
esfera ,5.56,0.7640842458,0.074,1.372,0.5569127156
esfera ,5.56,0.7640842458,0.074,1.377,0.5548905198
esfera ,5.56,0.7640842458,0.074,1.379,0.5540857475
esfera ,5.56,0.7640842458,0.074,1.361,0.561413847
esfera ,5.56,0.7640842458,0.074,1.355,0.5638998124
cilindro,5.56,0.7640842458,0.074,1.435,0.5324628891
cilindro,5.56,0.7640842458,0.074,1.432,0.5335783839
cilindro,5.56,0.7640842458,0.074,1.445,0.5287780248
cilindro,5.56,0.7640842458,0.074,1.437,0.5317218134
cilindro,5.56,0.7640842458,0.074,1.422,0.5373306933
cilindro,5.56,0.7640842458,0.074,1.424,0.5365760153
cilindro,5.56,0.7640842458,0.074,1.415,0.5399888663
cilindro,5.56,0.7640842458,0.074,1.415,0.5399888663
cilindro,5.56,0.7640842458,0.074,1.432,0.5335783839
cilindro,5.56,0.7640842458,0.074,1.424,0.5365760153
Aro,5.56,0.7124569319,0.069,1.556,0.4578772056
Aro,5.56,0.7124569319,0.069,1.546,0.4608388952
